,version,ihl,tos,len,id,flags,frag,ttl,proto,chksum,src,dst,options,time,sport,dport,seq,ack,dataofs,reserved,flags,window,chksum,urgptr,options,payload,payload_raw,payload_hex
0,4,5,0,522,39575,DF,0,64,6,17937,172.28.0.1,172.28.0.12,0,1681616388.8538623,34096,8080,3178069003,3959747405,8,0,PA,501,23106,0,3,470,"b'GET /socket.io/?EIO=3&sid=R_PmmLqmwiabq0EaAAAA&t=OU89SGQ&transport=polling HTTP/1.1\r\nHost: colab.research.google.com\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0,gzip(gfe)\r\nAccept: */*\r\nAccept-Encoding: gzip, deflate, br,gzip(gfe)\r\nAccept-Language: es-ES,es;q=0.8,en-US;q=0.5,en;q=0.3\r\nReferer: https://colab.research.google.com/\r\nSec-Fetch-Dest: empty\r\nSec-Fetch-Mode: cors\r\nSec-Fetch-Site: same-origin\r\nTe: trailers\r\n\r\n'",b'474554202f736f636b65742e696f2f3f45494f3d33267369643d525f506d6d4c716d77696162713045614141414126743d4f553839534751267472616e73706f72743d706f6c6c696e6720485454502f312e310d0a486f73743a20636f6c61622e72657365617263682e676f6f676c652e636f6d0d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e542031302e303b2057696e36343b207836343b2072763a3130392e3029204765636b6f2f32303130303130312046697265666f782f3131312e302c677a697028676665290d0a4163636570743a202a2f2a0d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174652c2062722c677a697028676665290d0a4163636570742d4c616e67756167653a2065732d45532c65733b713d302e382c656e2d55533b713d302e352c656e3b713d302e330d0a526566657265723a2068747470733a2f2f636f6c61622e72657365617263682e676f6f676c652e636f6d2f0d0a5365632d46657463682d446573743a20656d7074790d0a5365632d46657463682d4d6f64653a20636f72730d0a5365632d46657463682d536974653a2073616d652d6f726967696e0d0a54653a20747261696c6572730d0a0d0a'
1,4,5,0,52,65360,DF,0,64,6,58157,172.28.0.12,172.28.0.1,0,1681616388.8539133,8080,34096,3959747405,3178069473,8,0,A,501,22636,0,3,0,b'',b''
2,4,5,0,1501,65361,DF,0,64,6,56707,172.28.0.12,172.28.0.1,0,1681616388.8555453,8080,34096,3959747405,3178069473,8,0,PA,501,24085,0,3,1449,"b'HTTP/1.1 200 OK\r\nContent-Type: text/plain; charset=UTF-8\r\nContent-Encoding: gzip\r\nContent-Length: 1195\r\nAccess-Control-Allow-Origin: *\r\nSet-Cookie: io=R_PmmLqmwiabq0EaAAAA; Path=/; HttpOnly\r\nDate: Sun, 16 Apr 2023 03:39:48 GMT\r\nConnection: keep-alive\r\n\r\n\x1f\x8b\x08\x00\x00\x00\x00\x00\x00\x03\xd5\x98Qo\xa38\x10\xc7\xbfJ\x94\xa7V*\xc5\xc6@L\xa4}Zi\xb5\'\xddI\xa7\xbb}\xda\xa6B\xc6\x0c\t*1,\x98\xde\xe5V\xfd\xee7\x86\xb4\r!\xdd\xb6^Zi\x1f\xa2`\xc0\xf6o\xfe3\x1e\x8f\xe1>Y\xfa\x9e\xdb@\xd3\xe4\xa5\xba\xb8\x9a\xa7B\x8b\xf9\xc5\xf7\xfe\x7f9\xff\xbe\x9ao@\xa4P\xaf\xe6\xcb\x196\xb6\xcd:\xceS\xd3X\xcdi\x92\x12\xc1=\xe9D\x19O@\x92,\t\xd3\xc0\x17\xd2\x0b\x12Bh\xca\x938`\xab\xf9\xc5\xac\xef\xa5w\x15\xf4\xfd\xe0_\x90\xad\x868WU\xab\xfb\x17\xda\x06j%\xb6\xfb\x17\x1e[\xe6\xd9\x9e\xed\x85s\xf6}\x90~?\x96G<\xe6\x10\xdf\xa1\xe1\x17\xc2\x96,Z\xfa\xfc2$A\x10\x85_\xfbWo\xa1~\x1c>\xb8D\xe2\xbb{\xe470\xb4\x125(\x1d?\xa9)d>\xe3\x10r\'\x0cI\xe8\xf8Y\x969@\x17\xc2\xe1\x89\x840\xe4@$\xa1\xaf\x94\x8c%\x99L$\x0f\x1cJ\x819\xbe`\x89\xc3\x99L\x9c\x88\xf1E\x92\xe2<<\xf3\x7fD_\xc3\xb7\x16\x1a}R-\xf22\xb9}\xeeG_\xef\x85\x05-Lpu\xc6wwd\xa94\x8a\xb2WC\x96\xe9~,\xd5ng\x1ff\x94\x90\xd5JURT\xd8hT\x9eeg\xb2l\x95\xfe\x80\x8f\xcf\xf1\x89yX\xe7J\x9f\x19\xf23\xf3\xde\xf9\xf9\xc3\xbd\x02\xd4\xf1\xad\xae\xb9\x1f\xf1\x8a\\\x9b\x11:\x1bzs\xd1\xb6\xb8\x1b\xde \xf8\x1d^\xd2f\x19Zmn\\]w\xbc\x1b\xa1\x14\x14=d^V-\x06\xdd\xdd\xfc\xee:\x08\x83\xd0,\xa6\x14\x92v\xbd\x86z\xbc\x9a>\xf6\x96:\xbf\x83Z\xeb\rN\x10\x05|U#\x01\xfe\xd0\xf4\xa4Lw8*^e5\xfa\xd2Ly\x85\x8d.6\x16\xe1\x05*\xd2\xfb\xdb8\xb8\x00i\\\x82\x97e[K\xe8\xbbUBo\xba\xe7n\xdb\xd4nQJQ\xb8E\x9e\xb8\xd5NoJ\xc5.#7\xcd\x1b\xedTB\xde\x8854n\x83\x1a\xec\xdc\xa6\xad\xd0\xbeR\xde\x80\xbe\xacv\xc6M\xaby\x91+3\xa6\x17\xfa\x17\xc6%E\xbb5>\xa7\xd8\xa8jh\xd0\x06a\xa4\xfa\x9cwB!D\x9b\xe8\x02L\xd7\x07\xde\xc5!o\\\xb7j*ZPi\r\xf2\xf6\x18\x95z4\xb2e\xe5\x03mM\x8c\xbd5,\xa3\xd4\x166:\x84]\xadZB\x98\x94P\x1433\xf6r\xe6\xf5\xb7\xe0i\x0b\xf6}\xf2\x1e\xdd\xe9\xb2\x93\xe3;\xdc\xc7\x14\'YH\x12\xa0\xe31\xfe\x02\\\x04\xa0d/\xf5a\x88\x0c\xecx\xe4\xa4\xde!\'\xfa?\xeeW\xf6O\xea\xfa\xdb\x9f\xdd\x03W\x965\xb8\xa8\x12\xd4B\xea\xfc\x16\x9a\rJp,3\x0b\x02f)3e\xc7\xf8\xa2\xd1\xb1B\x13\x9aw\xb6\xc1_X\xdb\xe0\x8f\\\x80\x13\xa0!;%\xdf\xd9\x08/X\xd8\x1a\x11\x0c\x12I\xd5@\x9b\x96\xb11\xc1$\x15ev\xd1)-\xe9\xc4\xc1\xfd\xb909\xf1\xd8\x8c.QX\x191\xc8\xde\xf1\xbd+\xde\xd9\t\x84\x11[\xfe\xc5\xa9Hz_|/Z\x04\xb6\xf8\xfcM\xf01\x83\xde`\xd9\x05\x85\xfb\xdf\xf6\xdbI\xe6\x80\xd9\xeeIt\x90\xe61\xe2\xf7\xe5\xd8\x84\xd0y\xd5_\x8c\xe3\xc4\xb3\x84\xe6\xe4\x10\xfa\x9fZT\xd5\x04\xebS\x97X\xda\xa6\xa5\xbb\x065\x8a\tf[\x9fx\xf4\x10u\\\xebN%r\xff\x97\x88\x06\xa6\x8b\rN\x7f\x1d\x99\x07\xdb(N\x88Tr\x13w\x8b\xe5]T\xf6B\xdbB\x8b{\xbf\x8e\xca\x83=\xb2\xaaK\x89\x07\xc0\xb8TSf\x8b\xa7%f\xf6\x12\x1f\x17Yo)\xef\x82\xdb\xa65o\xb0\xfb\xe5\x93\x14\x1d?\x00\xe5\x9e\xb5\x9e\x83\x82\xaf/3D\x81N\x937\x93\x01\xe7eQ\x96\xd5H\\\xdf\xb6\xb4\xf0N\x9dg\n\xb1MR\xf1\xecIf\x12\xf4\x90\xdb\x96\xa6>9\x96\xfb9\xd4\x01dWj\xe6\xa5\x0b\xb78\xd7\xa8\xd6\xe4\xb6\x822:\n\x82\xb2;\xb7Y\xa0\x99\xe5\x1e\x9f\xe6\xa3\x11\xb1-\xc7\xd8\xe8h\x98a\x01x\xfb\xfc\xaaz-cHlW\x12\x1bd\xa6F\x8b\xfa\xe7\x8b\x82\xfb0\xac\n\xa1\xd1\xe0\xed\xbd\x05\xa3}\x80Z\x0b\xebOO}\xbc\x03\xe068\x92\xd9\xfa\xcb\x0b\x1bl\\\x85h\x15\x16\x07\xb9B\xf2\x17D\xec\xf3\x82\xd7""\xc7\tu\x83\x07\x0c\x95\xe5k\x17\xd9\x8b\\vP\xc76D\x91\xed\xee\xc0\x06g\xbb}\x02\xdb\x96i\x8b\xafM\x94\xc0\x1e|\x10\xf7\x12A=Z\x8d\xa1-\xfd\xe8;\xdd\x8b\xbe\xd3\x0c`\xb1S\xb5\x1b\xe5/\xdb\xac\xca\xf8\x88\xa8W3\x16M\xbc\x15\xf9\xeb\x92\xecI6\x1a\xbd\x12\xee\xdat\xeerLw\x1f{\x8a\xe4\x0fD\xf9\xb2\xa9A\xa4\x7fkt\xd4\xa7\xfd\'[|q\xff\r\xfd\xa1\x87\xf98\xfc?\xf7!\xc1\x11i\x19\x00\x00'",b'485454502f312e3120323030204f4b0d0a436f6e74656e742d547970653a20746578742f706c61696e3b20636861727365743d5554462d380d0a436f6e74656e742d456e636f64696e673a20677a69700d0a436f6e74656e742d4c656e6774683a20313139350d0a4163636573732d436f6e74726f6c2d416c6c6f772d4f726967696e3a202a0d0a5365742d436f6f6b69653a20696f3d525f506d6d4c716d7769616271304561414141413b20506174683d2f3b20487474704f6e6c790d0a446174653a2053756e2c2031362041707220323032332030333a33393a343820474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a1f8b0800000000000003d598516fa33810c7bf4a94a7562ac5c6404ca47d5a69b527dd49a7bb7ddaa642c60c092a312c98dee556fdee3786b40d21ddb65e5a691fa260c0f66ffe331e8fe13e59fa9edb40d3e4a5bab89aa7428bf9c5f7fe7f39ffbe9a6f40a450afe6cb1936b6cd3ace53d358cd699212c13de944194f40922c09d3c017d20b124268ca933860abf9c5acefa57715f4fde05f90ad86385755abfb17da066a25b6fb171e5be6d99eed8573f67d907e3f96473ce610dfa1e117c2962c5afafc32244110855ffb576fa17e1c3eb844e2bb7be43730b41235281d3fa929643ee31072270c49e8f85996394017c2e1898430e44024a1af948c25994c240f1c4a8139be6089c3994c9c88f14592e23c3cf37f445fc3b7161a7d522df232b97dee475fef85052d4c7075c6777764a9348ab2574396e97e2cd56e671f669490d54a555254d868549e6567b26c95fe808fcff1897958e74a9f19f233f3def9f9c3bd02d4f1adaeb91ff18a5c9b113a1b7a73d1b6b81bde20f81d5ed266195a6d6e5c5d77bc1ba114143d645e562d06ddddfcee3a0883d02ca6149276bd867abc9a3ef6963abf835aeb0d4e10057c552301fed0f4a44c77382a5e6535fad24c79858d2e3616e1052ad2fbdb38b800695c8297655b4be8bb55426fbae76edbd46e514a51b8459eb8d54e6f4ac52e2337cd1bed5442de8835346e831aecdca6add0be52de80beac76c64dab79912b33a617fa17c62545bb353ea7d8a86a68d00661a4fa9c774221449be8024cd707dec5216f5cb76a2a5a50690df2f618957a34b265e5036d4d8cbd352ca3d416363a845dad5a42989450143333f672e6f5b7e0690bf67df21edde9b293e33bdcc71427594812a0e331fe025c04a0642ff561880cec78e4a4de2127fa3fee57f64feafadb9fdd03579635b8a812d442eafc169a0d4a702c330b0266293365c7f8a2d1b142139a77b6c15f58dbe08f5c8013a0213b25dfd9082f58d81a110c1249d5409b96b131c124156576d1292de9c4c1fdb93039f1d88c2e51581931c8def1bd2bded90984115bfec5a9487a5f7c2f5a04b6f8fc4df03183de60d90585fbdff6db49e680d9ee497490e631e2f7e5d884d079d55f8ce3c4b384e6e410fa9f5a54d504eb539758daa6a5bb06358a09665b9f78f410755ceb4e2572ff978806a68b0d4e7f1d9907db284e88547213778be55d54f642db428b7bbf8eca833db2aa4b8907c0b85453668ba72566f6121f17596f29ef82dba6356fb0fbe593141d3f00e59eb59e8382af2f3344814e93379301e7655196d5485cdfb6b4f04e9d670ab14d52f1ec496612f490db96a63e3996fb39d40164576ae6a50bb738d7a8d6e4b682323a0a82b23bb759a099e51e9fe6a311b12dc7d8e86898610178fbfcaa7a2d63486c57121b64a6468bfae78b82fb30ac0aa1d1e0edbd05a37d805a0beb4f4f7dbc03e0363892d9facb0b1b6c5c8568151607b942f21744ecf382d722c7097583070c95e56b17d98b5c7650c7364491edeec00667bb7d02db96698baf4d94c01e7c10f712413d5a8da12dfde83bdd8bbed30c60b153b51be52fdbaccaf888a85733164dbc15f9eb92ec49361abd12eeda74ee724c771f7b8ae40f44f9b2a941a47f6b74d4a7fd275b7c71ff0dfda187f938fc3ff721c11169190000'
3,4,5,0,52,39576,DF,0,64,6,18406,172.28.0.1,172.28.0.12,0,1681616388.8563263,34096,8080,3178069473,3959748854,8,0,A,490,22636,0,3,0,b'',b''
4,4,5,0,626,39577,DF,0,64,6,17831,172.28.0.1,172.28.0.12,0,1681616389.0610151,34096,8080,3178069473,3959748854,8,0,PA,501,23210,0,3,574,"b'POST /socket.io/?EIO=3&sid=R_PmmLqmwiabq0EaAAAA&t=OU89SJp&transport=polling HTTP/1.1\r\nHost: colab.research.google.com\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0,gzip(gfe)\r\nContent-Length: 55\r\nAccept: */*\r\nAccept-Encoding: gzip, deflate, br,gzip(gfe)\r\nAccept-Language: es-ES,es;q=0.8,en-US;q=0.5,en;q=0.3\r\nContent-Type: text/plain;charset=UTF-8\r\nOrigin: https://colab.research.google.com\r\nReferer: https://colab.research.google.com/\r\nSec-Fetch-Dest: empty\r\nSec-Fetch-Mode: cors\r\nSec-Fetch-Site: same-origin\r\nTe: trailers\r\n\r\n'",b'504f5354202f736f636b65742e696f2f3f45494f3d33267369643d525f506d6d4c716d77696162713045614141414126743d4f553839534a70267472616e73706f72743d706f6c6c696e6720485454502f312e310d0a486f73743a20636f6c61622e72657365617263682e676f6f676c652e636f6d0d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e542031302e303b2057696e36343b207836343b2072763a3130392e3029204765636b6f2f32303130303130312046697265666f782f3131312e302c677a697028676665290d0a436f6e74656e742d4c656e6774683a2035350d0a4163636570743a202a2f2a0d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174652c2062722c677a697028676665290d0a4163636570742d4c616e67756167653a2065732d45532c65733b713d302e382c656e2d55533b713d302e352c656e3b713d302e330d0a436f6e74656e742d547970653a20746578742f706c61696e3b636861727365743d5554462d380d0a4f726967696e3a2068747470733a2f2f636f6c61622e72657365617263682e676f6f676c652e636f6d0d0a526566657265723a2068747470733a2f2f636f6c61622e72657365617263682e676f6f676c652e636f6d2f0d0a5365632d46657463682d446573743a20656d7074790d0a5365632d46657463682d4d6f64653a20636f72730d0a5365632d46657463682d536974653a2073616d652d6f726967696e0d0a54653a20747261696c6572730d0a0d0a'
5,4,5,0,107,39578,DF,0,64,6,18349,172.28.0.1,172.28.0.12,0,1681616389.0619578,34096,8080,3178070047,3959748854,8,0,PA,501,22691,0,3,55,"b'52:451-/debugger,[""data"",{""_placeholder"":true,""num"":0}]'",b'35323a3435312d2f64656275676765722c5b2264617461222c7b225f706c616365686f6c646572223a747275652c226e756d223a307d5d'
6,4,5,0,52,65363,DF,0,64,6,58154,172.28.0.12,172.28.0.1,0,1681616389.062008,8080,34096,3959748854,3178070102,8,0,A,501,22636,0,3,0,b'',b''
7,4,5,0,337,65364,DF,0,64,6,57868,172.28.0.12,172.28.0.1,0,1681616389.0625577,8080,34096,3959748854,3178070102,8,0,PA,501,22921,0,3,285,"b'HTTP/1.1 200 OK\r\nContent-Type: text/html\r\nContent-Length: 2\r\nAccess-Control-Allow-Credentials: true\r\nAccess-Control-Allow-Origin: https://colab.research.google.com\r\nSet-Cookie: io=R_PmmLqmwiabq0EaAAAA; Path=/; HttpOnly\r\nDate: Sun, 16 Apr 2023 03:39:49 GMT\r\nConnection: keep-alive\r\n\r\nok'",b'485454502f312e3120323030204f4b0d0a436f6e74656e742d547970653a20746578742f68746d6c0d0a436f6e74656e742d4c656e6774683a20320d0a4163636573732d436f6e74726f6c2d416c6c6f772d43726564656e7469616c733a20747275650d0a4163636573732d436f6e74726f6c2d416c6c6f772d4f726967696e3a2068747470733a2f2f636f6c61622e72657365617263682e676f6f676c652e636f6d0d0a5365742d436f6f6b69653a20696f3d525f506d6d4c716d7769616271304561414141413b20506174683d2f3b20487474704f6e6c790d0a446174653a2053756e2c2031362041707220323032332030333a33393a343920474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a6f6b'
8,4,5,0,52,39579,DF,0,64,6,18403,172.28.0.1,172.28.0.12,0,1681616389.0625746,34096,8080,3178070102,3959749139,8,0,A,501,22636,0,3,0,b'',b''
9,4,5,0,524,39580,DF,0,64,6,17930,172.28.0.1,172.28.0.12,0,1681616389.0875473,34096,8080,3178070102,3959749139,8,0,PA,501,23108,0,3,472,"b'GET /socket.io/?EIO=3&sid=R_PmmLqmwiabq0EaAAAA&t=OU89SJp.0&transport=polling HTTP/1.1\r\nHost: colab.research.google.com\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0,gzip(gfe)\r\nAccept: */*\r\nAccept-Encoding: gzip, deflate, br,gzip(gfe)\r\nAccept-Language: es-ES,es;q=0.8,en-US;q=0.5,en;q=0.3\r\nReferer: https://colab.research.google.com/\r\nSec-Fetch-Dest: empty\r\nSec-Fetch-Mode: cors\r\nSec-Fetch-Site: same-origin\r\nTe: trailers\r\n\r\n'",b'474554202f736f636b65742e696f2f3f45494f3d33267369643d525f506d6d4c716d77696162713045614141414126743d4f553839534a702e30267472616e73706f72743d706f6c6c696e6720485454502f312e310d0a486f73743a20636f6c61622e72657365617263682e676f6f676c652e636f6d0d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e542031302e303b2057696e36343b207836343b2072763a3130392e3029204765636b6f2f32303130303130312046697265666f782f3131312e302c677a697028676665290d0a4163636570743a202a2f2a0d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174652c2062722c677a697028676665290d0a4163636570742d4c616e67756167653a2065732d45532c65733b713d302e382c656e2d55533b713d302e352c656e3b713d302e330d0a526566657265723a2068747470733a2f2f636f6c61622e72657365617263682e676f6f676c652e636f6d2f0d0a5365632d46657463682d446573743a20656d7074790d0a5365632d46657463682d4d6f64653a20636f72730d0a5365632d46657463682d536974653a2073616d652d6f726967696e0d0a54653a20747261696c6572730d0a0d0a'
10,4,5,0,52,65365,DF,0,64,6,58152,172.28.0.12,172.28.0.1,0,1681616389.1287656,8080,34096,3959749139,3178070574,8,0,A,501,22636,0,3,0,b'',b''
11,4,5,0,626,11488,DF,0,64,6,45920,172.28.0.1,172.28.0.12,0,1681616389.2381644,35306,8080,1176259014,640539881,8,0,PA,501,23210,0,3,574,"b'POST /socket.io/?EIO=3&sid=R_PmmLqmwiabq0EaAAAA&t=OU89SMl&transport=polling HTTP/1.1\r\nHost: colab.research.google.com\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0,gzip(gfe)\r\nContent-Length: 73\r\nAccept: */*\r\nAccept-Encoding: gzip, deflate, br,gzip(gfe)\r\nAccept-Language: es-ES,es;q=0.8,en-US;q=0.5,en;q=0.3\r\nContent-Type: application/octet-stream\r\nOrigin: https://colab.research.google.com\r\nReferer: https://colab.research.google.com/\r\nSec-Fetch-Dest: empty\r\nSec-Fetch-Mode: cors\r\nSec-Fetch-Site: same-origin\r\nTe: trailers\r\n\r\n'",b'504f5354202f736f636b65742e696f2f3f45494f3d33267369643d525f506d6d4c716d77696162713045614141414126743d4f553839534d6c267472616e73706f72743d706f6c6c696e6720485454502f312e310d0a486f73743a20636f6c61622e72657365617263682e676f6f676c652e636f6d0d0a557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e542031302e303b2057696e36343b207836343b2072763a3130392e3029204765636b6f2f32303130303130312046697265666f782f3131312e302c677a697028676665290d0a436f6e74656e742d4c656e6774683a2037330d0a4163636570743a202a2f2a0d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174652c2062722c677a697028676665290d0a4163636570742d4c616e67756167653a2065732d45532c65733b713d302e382c656e2d55533b713d302e352c656e3b713d302e330d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6f637465742d73747265616d0d0a4f726967696e3a2068747470733a2f2f636f6c61622e72657365617263682e676f6f676c652e636f6d0d0a526566657265723a2068747470733a2f2f636f6c61622e72657365617263682e676f6f676c652e636f6d2f0d0a5365632d46657463682d446573743a20656d7074790d0a5365632d46657463682d4d6f64653a20636f72730d0a5365632d46657463682d536974653a2073616d652d6f726967696e0d0a54653a20747261696c6572730d0a0d0a'
12,4,5,0,125,11489,DF,0,64,6,46420,172.28.0.1,172.28.0.12,0,1681616389.2411852,35306,8080,1176259588,640539881,8,0,PA,501,22709,0,3,73,"b'\x01\x06\t\xff\x04Content-Length: 46\r\n\r\n{""type"":""request"",""command"":""threads"",""seq"":9}'",b'010609ff04436f6e74656e742d4c656e6774683a2034360d0a0d0a7b2274797065223a2272657175657374222c22636f6d6d616e64223a2274687265616473222c22736571223a397d'
13,4,5,0,52,16532,DF,0,64,6,41450,172.28.0.12,172.28.0.1,0,1681616389.241212,8080,35306,640539881,1176259661,8,0,A,501,22636,0,3,0,b'',b''
14,4,5,0,337,16533,DF,0,64,6,41164,172.28.0.12,172.28.0.1,0,1681616389.2418299,8080,35306,640539881,1176259661,8,0,PA,501,22921,0,3,285,"b'HTTP/1.1 200 OK\r\nContent-Type: text/html\r\nContent-Length: 2\r\nAccess-Control-Allow-Credentials: true\r\nAccess-Control-Allow-Origin: https://colab.research.google.com\r\nSet-Cookie: io=R_PmmLqmwiabq0EaAAAA; Path=/; HttpOnly\r\nDate: Sun, 16 Apr 2023 03:39:49 GMT\r\nConnection: keep-alive\r\n\r\nok'",b'485454502f312e3120323030204f4b0d0a436f6e74656e742d547970653a20746578742f68746d6c0d0a436f6e74656e742d4c656e6774683a20320d0a4163636573732d436f6e74726f6c2d416c6c6f772d43726564656e7469616c733a20747275650d0a4163636573732d436f6e74726f6c2d416c6c6f772d4f726967696e3a2068747470733a2f2f636f6c61622e72657365617263682e676f6f676c652e636f6d0d0a5365742d436f6f6b69653a20696f3d525f506d6d4c716d7769616271304561414141413b20506174683d2f3b20487474704f6e6c790d0a446174653a2053756e2c2031362041707220323032332030333a33393a343920474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a6f6b'
15,4,5,0,52,11490,DF,0,64,6,46492,172.28.0.1,172.28.0.12,0,1681616389.2443392,35306,8080,1176259661,640540166,8,0,A,499,22636,0,3,0,b'',b''
16,4,5,0,823,65366,DF,0,64,6,57380,172.28.0.12,172.28.0.1,0,1681616389.5545228,8080,34096,3959749139,3178070574,8,0,PA,501,23407,0,3,771,"b'HTTP/1.1 200 OK\r\nContent-Type: text/plain; charset=UTF-8\r\nContent-Length: 542\r\nAccess-Control-Allow-Origin: *\r\nSet-Cookie: io=R_PmmLqmwiabq0EaAAAA; Path=/; HttpOnly\r\nDate: Sun, 16 Apr 2023 03:39:49 GMT\r\nConnection: keep-alive\r\n\r\n538:42/python-lsp/10,[""data"",{""data"":""{\\""jsonrpc\\"":\\""2.0\\"",\\""method\\"":\\""textDocument/publishDiagnostics\\"",\\""params\\"":{\\""uri\\"":\\""inmemory://model/1\\"",\\""version\\"":512,\\""diagnostics\\"":[{\\""range\\"":{\\""start\\"":{\\""line\\"":11,\\""character\\"":0},\\""end\\"":{\\""line\\"":11,\\""character\\"":4}},\\""message\\"":\\""Invalid character \\\\\\""\\\\\\\\u21\\\\\\"" in token\\"",\\""severity\\"":1,\\""source\\"":\\""Pyright\\""},{\\""range\\"":{\\""start\\"":{\\""line\\"":21,\\""character\\"":0},\\""end\\"":{\\""line\\"":21,\\""character\\"":1}},\\""message\\"":\\""Expected expression\\"",\\""severity\\"":1,\\""source\\"":\\""Pyright\\""}]}}""}]'",b'485454502f312e3120323030204f4b0d0a436f6e74656e742d547970653a20746578742f706c61696e3b20636861727365743d5554462d380d0a436f6e74656e742d4c656e6774683a203534320d0a4163636573732d436f6e74726f6c2d416c6c6f772d4f726967696e3a202a0d0a5365742d436f6f6b69653a20696f3d525f506d6d4c716d7769616271304561414141413b20506174683d2f3b20487474704f6e6c790d0a446174653a2053756e2c2031362041707220323032332030333a33393a343920474d540d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a3533383a34322f707974686f6e2d6c73702f31302c5b2264617461222c7b2264617461223a227b5c226a736f6e7270635c223a5c22322e305c222c5c226d6574686f645c223a5c2274657874446f63756d656e742f7075626c697368446961676e6f73746963735c222c5c22706172616d735c223a7b5c227572695c223a5c22696e6d656d6f72793a2f2f6d6f64656c2f315c222c5c2276657273696f6e5c223a3531322c5c22646961676e6f73746963735c223a5b7b5c2272616e67655c223a7b5c2273746172745c223a7b5c226c696e655c223a31312c5c226368617261637465725c223a307d2c5c22656e645c223a7b5c226c696e655c223a31312c5c226368617261637465725c223a347d7d2c5c226d6573736167655c223a5c22496e76616c696420636861726163746572205c5c5c225c5c5c5c7532315c5c5c2220696e20746f6b656e5c222c5c2273657665726974795c223a312c5c22736f757263655c223a5c22507972696768745c227d2c7b5c2272616e67655c223a7b5c2273746172745c223a7b5c226c696e655c223a32312c5c226368617261637465725c223a307d2c5c22656e645c223a7b5c226c696e655c223a32312c5c226368617261637465725c223a317d7d2c5c226d6573736167655c223a5c2245787065637465642065787072657373696f6e5c222c5c2273657665726974795c223a312c5c22736f757263655c223a5c22507972696768745c227d5d7d7d227d5d'
17,4,5,0,52,39581,DF,0,64,6,18401,172.28.0.1,172.28.0.12,0,1681616389.5946634,34096,8080,3178070574,3959749910,8,0,A,501,22636,0,3,0,b'',b''
